Waktu,Jumlah_Kecelakaan
2020-01-01,51.490142
2020-02-01,58.513779
2020-03-01,67.79059
2020-04-01,73.854804
2020-05-01,68.002207
2020-06-01,63.940446
2020-07-01,63.309067
2020-08-01,54.802304
2020-09-01,47.029767
2020-10-01,49.484823
2020-11-01,49.90508
2020-12-01,56.817096
2021-01-01,67.868744
2021-02-01,70.331588
2021-03-01,77.815628
2021-04-01,84.741709
2021-05-01,82.809031
2021-06-01,82.728456
2021-07-01,72.990213
2021-08-01,65.405946
2021-09-01,69.977994
2021-10-01,64.322671
2021-11-01,68.640775
2021-12-01,71.082898
2022-01-01,82.652566
2022-02-01,93.547053
2022-03-01,96.680257
2022-04-01,104.698523
2022-05-01,101.188465
2022-06-01,98.05349
2022-07-01,91.052023
2022-08-01,92.342549
2022-09-01,82.683413
2022-10-01,78.969724
2022-11-01,88.048682
2022-12-01,88.837469
