Waktu,Wisatawan_Ribuan
2018-01-01,1269.87
2018-02-01,1206.33
2018-03-01,1449.64
2018-04-01,1646.51
2018-05-01,1738.09
2018-06-01,1999.96
2018-07-01,2184.35
2018-08-01,2113.75
2018-09-01,1726.14
2018-10-01,1628.48
2018-11-01,1450.11
2018-12-01,1911.88
2019-01-01,1402.05
2019-02-01,1277.71
2019-03-01,1497.1
2019-04-01,1705.47
2019-05-01,1849.32
2019-06-01,2164.26
2019-07-01,2227.24
2019-08-01,2168.93
2019-09-01,1945.91
2019-10-01,1740.12
2019-11-01,1613.72
2019-12-01,2015.89
2020-01-01,1512.97
2020-02-01,1501.05
2020-03-01,1662.43
2020-04-01,1885.37
2020-05-01,2008.18
2020-06-01,2282.4
2020-07-01,2381.86
2020-08-01,2441.89
2020-09-01,2029.12
2020-10-01,1849.22
2020-11-01,1786.29
2020-12-01,2166.42
2021-01-01,1685.47
2021-02-01,1560.6
2021-03-01,1797.72
2021-04-01,2020.59
2021-05-01,2204.11
2021-06-01,2443.3
2021-07-01,2543.68
2021-08-01,2498.13
2021-09-01,2112.89
2021-10-01,2005.1
2021-11-01,1877.34
2021-12-01,2399.91
2022-01-01,1833.24
2022-02-01,1710.83
2022-03-01,2006.18
2022-04-01,2139.68
2022-05-01,2289.87
2022-06-01,2603.28
2022-07-01,2731.92
2022-08-01,2689.79
2022-09-01,2280.84
2022-10-01,2163.9
2022-11-01,2051.39
2022-12-01,2539.02
